Game,MaxRounds,RoundsWithWinner,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9
standard,100,0.87,0.18,0.05,0.16,0.32,0.13,0.08,0.07,0.09,0.17
standard,1000,0.912,0.136,0.061,0.164,0.192,0.131,0.137,0.118,0.123,0.122
standard,10000,0.9149,0.1249,0.079,0.2004,0.1306,0.1281,0.1295,0.1252,0.1397,0.1243
standard,100000,0.91833,0.12353,0.08,0.18583,0.13566,0.13522,0.13277,0.1319,0.136,0.12698
standard-tilted,100,0.98,0.01,0.02,0.08,0.14,10.65,0.08,0.06,0.01,0.01
standard-tilted,1000,0.95,0.014,0.017,0.102,0.137,11.211,0.093,0.036,0.013,0.015
standard-tilted,10000,0.9633,0.0202,0.0187,0.0925,0.1407,11.5371,0.0872,0.0411,0.0242,0.0165
standard-tilted,100000,0.96294,0.02149,0.02017,0.08968,0.14323,11.6895,0.08046,0.03983,0.02205,0.01772
nocenter,100,0,10.18,9.97,10.69,8.66,8.89,11.35,10.29,9.69,10.28
nocenter,1000,0,9.837,9.754,10.197,9.903,9.203,10.581,10.248,9.938,10.339
nocenter,10000,0,10.0867,10.0002,9.9725,10.1823,9.2099,10.8098,9.7988,9.9351,10.0047
nocenter,100000,0,9.99009,10.03,10.0521,10.1277,9.29241,10.7436,9.85403,9.92947,9.98067
nocenter-tilted,100,0,5.86,5.33,6.22,8.98,37.03,8.96,6.6,5.94,5.08
nocenter-tilted,1000,0,5.386,5.906,5.44,9.378,37.954,8.421,6.321,5.904,5.29
nocenter-tilted,10000,0,5.3262,5.7256,5.5435,9.5041,37.7464,8.6028,6.4203,5.7702,5.3609
nocenter-tilted,100000,0,5.40212,5.67405,5.53344,9.48612,37.9275,8.53328,6.40407,5.65962,5.37982
nohold,100,0.76,0.07,0.09,0.08,0.1,0.13,0.06,0.05,0,0.35
nohold,1000,0.761,0.118,0.106,0.081,0.101,0.102,0.093,0.079,0,0.279
nohold,10000,0.757,0.1023,0.1101,0.1062,0.1134,0.1052,0.0898,0.0784,0.0012,0.2468
nohold,100000,0.7578,0.1088,0.1077,0.10468,0.10474,0.10424,0.09497,0.07566,0.00153,0.24248
nohold-tilted,100,0.85,0.01,0.1,0.07,0.17,5.8,0.35,0.03,0.02,0.01
nohold-tilted,1000,0.832,0.029,0.071,0.148,0.174,3.973,0.305,0.02,0.012,0.013
nohold-tilted,10000,0.8301,0.0359,0.0723,0.1301,0.1856,4.396,0.2899,0.0195,0.0137,0.0162
nohold-tilted,100000,0.82265,0.03501,0.07187,0.12879,0.18081,4.35297,0.29038,0.01941,0.01319,0.01757
